ID;Nom;Flavour;Rules
1;Absent Seizures;No one knows where your mind goes when you're gone, not even you.;The first time you would suffer a brain trauma each showdown, you are instead knocked down and forget a fighting art (erase it)
2;Aichmophobia;Sharp things make you uncomfortable. It's just a matter of time before someone cuts themselves.;You cannot activate or depart with axes, swords, spears, daggers, scythes, or katars in your gear grid.
3;Anxiety;You are afraid of being afraid. You're a nervous wreck, and monsters can smell this in your scent.;At the start of each showdown, gain the priority tarket token unless you have a stinky gear in your gear grid.
4;Apathetic;You've given up. Nothing seems to matter. You have no concern for your own wellbeing.;You cannot use or gain survival. You cannot gain courage.   Cure this disorder if you have 8+ understanding.
5;Arithmophilia;You love numbers. Your life must exist in perfect arithmetical harmony.;When you gain this disorder, roll 1d5. Your movement is that number.  Ignore all other movement modifiers.
6;Binge Eating Disorder;Eating is the only thing that helps you escape your miserable life.;You cannot depart unless you have consumable gear in your gear grid.  You must consume if a choice to consume arises.
7;Coprolalia;You have compulsive tics in the form of sporadic muttering, cursing, whimpering, and screaming.;All your gear is noisy. You are always a threat unless you are knocked down, even if an effect says otherwise.
8;Delicious;Predators of all shapes and sizes find your scent irresistible.;You are still considered a threat when you are knocked down (unless you use an effect that says otherwise).
9;Destined;You have a grand destiny that you must fulfill.;If you do not depart, lose all survival and insanity.
10;Emotionless;You don't have any emotions. You've hidden this from everyone by mimicking their social interactions.;You cannot gain +1 strength tokens.
11;Enfeebled;You are a delicate flower, wilting in the darkness.;It takes one less bleeding token to kill you.
12;Fear of the Dark;You cannot bear the oppressive darkness any longer;You retire   If you gain this disorder during a hunt or showdown, you put on a brave face until you return to the settlement, vowing never to leave the Lantern Hoard again.
13;Flower Addiction;An insatiable hunger has bloomed in you, delicate and sickeningly sweet.;You may only depart to hunt the Flower Knight.  After you depart, cure this disorder.
14;Ghostly Beauty;You cannot experience fear if you do not exist;Double all insanity you gain.   Double all survival you spend.
15;Hemophobia;The mere sight of blood makes you lightheaded, and serious gore can knock you out!;During the showdown, whenever a survivor (including you) gains a bleeding token, you are knock down.
16;Hoarder;You compulsively collect and stash anything you can get your hands on. Every little bit you add to your secret hoard makes your existence feel more real.;Whenever you are a returning survivor, archive 1 ressource gained from the last showdown and gain +1 courage.
17;Honorable;You believe in honor and fairness when conducting yourself on the battlefield. It is these strong principles that have kept you alive, and you will not abandon them under any circumstances.;You cannot attack a monster from its blind spot or if it is knocked down.
18;Hyper-Sensitivity;Your will to survive has become indefatigable.;You may dodge one additional time per round.  Whenever you are hit by an attack, you must dodge at least once, if possible.
19;Hyperactive;Whether you are running, fiddling with your gear, or pacing, you are always moving.;During the showdown, you must move at least 1 space every round.
20;Immortal;You are immortal! You will live forever and cannot be killed.;While you are insane, convert all damage dealt to your hit locations to brain damage.  You are so busy reveling in your own glory that you cannot spend survival while insane.
